date,y_true_next,y_pred_static,y_pred_adaptive,p1_static,p1_adaptive,logloss_static,logloss_adaptive,brier_static,brier_adaptive,return_next,feature_score,prediction_score,performance_score,drift_index,action,drift_feature,retrained_today,ensemble_size,pos_long_static,pos_long_adaptive,pos_ls_static,pos_ls_adaptive
2016-01-04,1,1,1,0.5833333333333334,0.5833333333333334,0.5389965007326869,0.5389965007326869,0.17361111111111108,0.17361111111111108,0.0020122259542274534,0.0,0.0,0.0,0.0,none,,0,1,0.16666666666666674,0.16666666666666674,0.16666666666666674,0.16666666666666674
2016-01-05,0,1,1,0.67,0.67,1.1086626245216114,1.1086626245216114,0.4489000000000001,0.4489000000000001,-0.013115396702646942,0.0,0.0,0.2848330618944622,0.08544991856833867,none,,0,1,0.3400000000000001,0.3400000000000001,0.3400000000000001,0.3400000000000001
2016-01-06,0,1,1,0.63,0.63,0.9942522733438669,0.9942522733438669,0.39690000000000003,0.39690000000000003,-0.023700443014411654,0.0,0.0,0.3984482023722741,0.11953446071168222,none,,0,1,0.26,0.26,0.26,0.26
2016-01-07,0,1,1,0.6033333333333334,0.6033333333333334,0.9246589815446719,0.9246589815446719,0.3640111111111112,0.3640111111111112,-0.010838374390218508,0.0,0.0,0.43146458888123673,0.12943937666437103,none,,0,1,0.20666666666666678,0.20666666666666678,0.20666666666666678,0.20666666666666678
2016-01-08,1,1,1,0.69,0.69,0.37106368139083207,0.37106368139083207,0.09610000000000003,0.09610000000000003,0.0008532721255336551,0.0,0.0,0.41646313091590176,0.12493893927477052,none,,0,1,0.3799999999999999,0.3799999999999999,0.3799999999999999,0.3799999999999999
2016-01-11,1,1,1,0.6933333333333334,0.6933333333333334,0.36624439495488303,0.36624439495488303,0.09404444444444443,0.09404444444444443,0.0078027985167561376,0.0,0.0,0.7675318120424441,0.23025954361273324,none,,0,1,0.3866666666666667,0.3866666666666667,0.3866666666666667,0.3866666666666667
2016-01-12,0,1,1,0.5733333333333334,0.5733333333333334,0.8517522107365839,0.8517522107365839,0.3287111111111111,0.3287111111111111,-0.024965452304219538,0.0,0.0,0.6522982680523082,0.19568948041569245,none,,0,1,0.14666666666666672,0.14666666666666672,0.14666666666666672,0.14666666666666672
2016-01-13,1,1,1,0.7433333333333333,0.7433333333333333,0.29661070319608235,0.29661070319608235,0.0658777777777778,0.0658777777777778,0.016695905386662213,0.0,0.0,1.0372177361588784,0.3111653208476635,none,,0,1,0.4866666666666666,0.4866666666666666,0.4866666666666666,0.4866666666666666
2016-01-14,0,1,1,0.72,0.72,1.2729656758128873,1.2729656758128873,0.5184,0.5184,-0.021599098001850003,0.0,0.0,0.5257204484535422,0.15771613453606265,none,,0,1,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.43999999999999995
2016-01-15,1,1,1,0.7033333333333334,0.7033333333333334,0.3519243411801345,0.3519243411801345,0.0880111111111111,0.0880111111111111,0.0005318215543925753,0.0,0.0,0.8672860852666258,0.2601858255799877,none,,0,1,0.40666666666666673,0.40666666666666673,0.40666666666666673,0.40666666666666673
2016-01-19,0,1,1,0.76,0.76,1.4271163556401458,1.4271163556401458,0.5776,0.5776,-0.011693855152413501,0.0,0.0,0.8239345753456359,0.24718037260369075,none,,0,1,0.52,0.52,0.52,0.52
2016-01-20,1,1,1,0.5566666666666666,0.5566666666666666,0.585788662239446,0.585788662239446,0.19654444444444447,0.19654444444444447,0.005195438361131455,0.0,0.0,0.6522202038105958,0.19566606114317872,none,,0,1,0.11333333333333329,0.11333333333333329,0.11333333333333329,0.11333333333333329
2016-01-21,1,1,1,0.7366666666666667,0.7366666666666667,0.30561977313844824,0.30561977313844824,0.06934444444444443,0.06934444444444443,0.020283701024494727,0.0,0.0,0.8021205421661636,0.24063616264984905,none,,0,1,0.4733333333333334,0.4733333333333334,0.4733333333333334,0.4733333333333334
2016-01-22,0,1,1,0.7466666666666667,0.7466666666666667,1.37304913436987,1.37304913436987,0.5575111111111112,0.5575111111111112,-0.015637982053378963,0.0,0.0,0.8389530917338597,0.2516859275201579,none,,0,1,0.4933333333333334,0.4933333333333334,0.4933333333333334,0.4933333333333334
2016-01-25,1,1,1,0.7166666666666667,0.7166666666666667,0.33314444652853825,0.33314444652853825,0.08027777777777777,0.08027777777777777,0.014144335590226431,0.0,0.0,0.6052435151851929,0.18157305455555786,none,,0,1,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335
2016-01-26,0,1,1,0.6633333333333333,0.6633333333333333,1.0886619578149417,1.0886619578149417,0.44001111111111113,0.44001111111111113,-0.010863483795639506,0.0,0.0,0.7587291964670251,0.22761875894010752,none,,0,1,0.32666666666666666,0.32666666666666666,0.32666666666666666,0.32666666666666666
2016-01-27,1,1,1,0.69,0.69,0.37106368139083207,0.37106368139083207,0.09610000000000003,0.09610000000000003,0.005528577205787588,0.0,0.0,0.6463410582149307,0.1939023174644792,none,,0,1,0.3799999999999999,0.3799999999999999,0.3799999999999999,0.3799999999999999
2016-01-28,1,1,1,0.7233333333333334,0.7233333333333334,0.3238851211157414,0.3238851211157414,0.07654444444444441,0.07654444444444441,0.0247602174153414,0.0,0.0,1.038314854857645,0.3114944564572935,none,,0,1,0.44666666666666677,0.44666666666666677,0.44666666666666677,0.44666666666666677
2016-01-29,0,1,1,0.5833333333333334,0.5833333333333334,0.8754687373539001,0.8754687373539001,0.34027777777777785,0.34027777777777785,-0.00044323658717015935,0.0,0.0,0.8871055520830137,0.2661316656249041,none,,0,1,0.16666666666666674,0.16666666666666674,0.16666666666666674,0.16666666666666674
2016-02-01,0,1,1,0.61,0.61,0.941608539858445,0.941608539858445,0.3721,0.3721,-0.018743090830274922,0.0,0.0,0.6806239020677962,0.20418717062033886,none,,0,1,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997
2016-02-02,1,1,1,0.6566666666666666,0.6566666666666666,0.42057874591821265,0.42057874591821265,0.1178777777777778,0.1178777777777778,0.004992038934619414,0.0,0.0,0.9801935629487627,0.2940580688846288,none,,0,1,0.31333333333333324,0.31333333333333324,0.31333333333333324,0.31333333333333324
2016-02-03,1,1,1,0.5966666666666667,0.5966666666666667,0.516396668815446,0.516396668815446,0.16267777777777775,0.16267777777777775,0.0015267325638141926,0.0,0.0,1.1746838582968717,0.3524051574890615,none,,0,1,0.19333333333333336,0.19333333333333336,0.19333333333333336,0.19333333333333336
2016-02-04,0,1,1,0.63,0.63,0.9942522733438669,0.9942522733438669,0.39690000000000003,0.39690000000000003,-0.018481246310869337,0.0,0.0,0.9036387799504862,0.27109163398514585,none,,0,1,0.26,0.26,0.26,0.26
2016-02-05,0,1,1,0.6633333333333333,0.6633333333333333,1.0886619578149417,1.0886619578149417,0.44001111111111113,0.44001111111111113,-0.014153935656373462,0.0,0.0,0.6212725593797847,0.1863817678139354,none,,0,1,0.32666666666666666,0.32666666666666666,0.32666666666666666,0.32666666666666666
