date,rolling_logloss_static_w60,rolling_logloss_adaptive_w60
2016-01-04,,
2016-01-05,,
2016-01-06,,
2016-01-07,,
2016-01-08,,
2016-01-11,,
2016-01-12,,
2016-01-13,,
2016-01-14,,
2016-01-15,,
2016-01-19,,
2016-01-20,,
2016-01-21,,
2016-01-22,,
2016-01-25,,
2016-01-26,,
2016-01-27,,
2016-01-28,,
2016-01-29,,
2016-02-01,,
2016-02-02,,
2016-02-03,,
2016-02-04,,
2016-02-05,,
2016-02-08,,
2016-02-09,,
2016-02-10,,
2016-02-11,,
2016-02-12,,
2016-02-16,,
2016-02-17,,
2016-02-18,,
2016-02-19,,
2016-02-22,,
2016-02-23,,
2016-02-24,,
2016-02-25,,
2016-02-26,,
2016-02-29,,
2016-03-01,,
2016-03-02,,
2016-03-03,,
2016-03-04,,
2016-03-07,,
2016-03-08,,
2016-03-09,,
2016-03-10,,
2016-03-11,,
2016-03-14,,
2016-03-15,,
2016-03-16,,
2016-03-17,,
2016-03-18,,
2016-03-21,,
2016-03-22,,
2016-03-23,,
2016-03-24,,
2016-03-28,,
2016-03-29,,
2016-03-30,1.387613668643108,1.358488620067135
2016-03-31,1.4574412476768817,1.4066614826987378
2016-04-01,1.4546924174421803,1.4036227900855054
2016-04-04,1.3853776993861857,1.334049668920578
2016-04-05,1.4115587933469833,1.353323533246527
2016-04-06,1.4823670473811392,1.4032524044724268
2016-04-07,1.4738532869850394,1.397123658137005
2016-04-08,1.473950468990219,1.3969309777636536
2016-04-11,1.449012214717982,1.3801062359507852
2016-04-12,1.4521964686640272,1.382228559657062
2016-04-13,1.4627585313321798,1.3945941820692185
2016-04-14,1.464092576460072,1.392489286647147
2016-04-15,1.4486465425977146,1.3813813044225174
2016-04-18,1.3929405945703943,1.3260155042557171
2016-04-19,1.3756813586920449,1.3117752487864494
2016-04-20,1.399817521439328,1.3318414621918648
2016-04-21,1.4032415876762416,1.334410640188986
2016-04-22,1.4222611193943568,1.3357350430448902
2016-04-25,1.4154610126354095,1.3294504412974655
2016-04-26,1.4243994244531923,1.3383888531152484
2016-04-27,1.40050071761804,1.3139186617221188
2016-04-28,1.451128992162257,1.3701548068766891
2016-04-29,1.4463965963232372,1.3675147067867324
2016-05-02,1.423731469557459,1.3441513976591348
2016-05-03,1.418073017218853,1.3384089820866962
2016-05-04,1.4396518033454264,1.3461059494976844
2016-05-05,1.4566441994319668,1.3633933385358814
2016-05-06,1.0012582251298991,0.9033836046957372
2016-05-09,0.9809309097787268,0.8905960188171761
2016-05-10,0.9536018554132363,0.8855580042859604
2016-05-11,0.9841448798090415,0.9558831327055622
2016-05-12,1.0676554680439792,0.9650842757438962
2016-05-13,1.048739135829996,0.9629489240789583
2016-05-16,1.044070221383056,0.9566528823196445
2016-05-17,1.0879692585321974,0.9928470112454206
2016-05-18,1.1062794633433326,0.9905445056040737
2016-05-19,1.1023273001218499,0.9900716606519201
2016-05-20,1.1244418157993346,0.9860680683983726
2016-05-23,1.1225731941639896,0.9852805203175301
2016-05-24,1.1115258303129127,0.97098214675693
2016-05-25,1.1327267665034135,0.9952492750758394
2016-05-26,1.113082516564386,0.9813801741530628
2016-05-27,1.138875225042986,0.9999528515803335
2016-05-31,1.1365541905874441,0.9987111427920348
2016-06-01,1.1326987049891,0.9943471287709031
2016-06-02,1.1275370682721642,0.9892992581384739
2016-06-03,1.1583008464471363,1.0220260869077191
2016-06-06,1.2345460294221924,1.1091218648029393
2016-06-07,1.2195803362020932,1.1058472763990717
2016-06-08,1.2337838674552537,1.1332177386533564
2016-06-09,1.2983038843037185,1.1625153706125628
2016-06-10,1.295265191690486,1.1037426952022935
2016-06-13,1.298030136309262,1.1105004470040962
2016-06-14,1.3304619721268505,1.1634680108432287
2016-06-15,1.3185173441606814,1.150195820563309
2016-06-16,1.2954124381420165,1.1177639847457206
2016-06-17,1.3121251769733164,1.1363040782590614
2016-06-20,1.3165498088923293,1.141098779466591
2016-06-21,1.3344790447355304,1.1527809348166242
2016-06-22,1.3367045679459224,1.1927458560299302
2016-06-23,1.3619566884953036,1.1927458560299302
2016-06-24,1.313783825863701,1.1647518198448077
2016-06-27,1.3445476040386732,1.1958054603983113
2016-06-28,1.3496931953995,1.2032168907526686
2016-06-29,1.3283693418065412,1.1859295017144718
2016-06-30,1.2531883500312602,1.1315365683180365
2016-07-01,1.2321509881570951,1.1128044000404964
2016-07-05,1.250756185919887,1.1149480230041982
2016-07-06,1.3268286557776843,1.150475144585038
2016-07-07,1.3222547083493381,1.1637607594864379
2016-07-08,1.3765563173163629,1.187348791119657
2016-07-11,1.3584792165381399,1.1738019297143896
2016-07-12,1.3601198844183606,1.1743747237727928
2016-07-13,1.3779325398436677,1.1911276951398264
2016-07-14,1.4194465629321313,1.2620545736367967
2016-07-15,1.3971592595299531,1.244309394686923
2016-07-18,1.384613604900583,1.2801166349063695
2016-07-19,1.4185616370216003,1.3291906178924768
2016-07-20,1.4682386142839994,1.362426899392896
2016-07-21,1.4381092841077576,1.3335802532355898
2016-07-22,1.4757279960897125,1.3547429289833224
2016-07-25,1.4574177912785773,1.3147780077700162
2016-07-26,1.4865477303753596,1.3475313969698495
2016-07-27,1.4921022106570876,1.3491455607363483
2016-07-28,1.4967294062670589,1.3532030410275975
2016-07-29,1.478984227317185,1.3448348419643101
2016-08-01,1.4604802218727977,1.3301694571692555
2016-08-02,1.496433875918173,1.3855352573360558
2016-08-03,1.496176801412746,1.3850657427199442
2016-08-04,1.4945205935158592,1.3901037572511596
2016-08-05,1.4755300221293866,1.3410297742650523
2016-08-08,1.3886144261692368,1.3256707728023807
2016-08-09,1.3890975517837911,1.3231317607260138
2016-08-10,1.3891925188023684,1.3232256576879848
2016-08-11,1.3729948424185523,1.3098793602754462
2016-08-12,1.3558972935121243,1.3141449165110661
2016-08-15,1.355172541646462,1.3086372466033231
2016-08-16,1.3595452793875868,1.3150088807504337
2016-08-17,1.3904499431577433,1.3436364057016725
2016-08-18,1.385119087234657,1.3472765381444787
2016-08-19,1.3604774113182134,1.3266638276919969
2016-08-22,1.3641964705067835,1.3209111859940437
2016-08-23,1.336718826746994,1.3026009811829087
2016-08-24,1.3700935017560392,1.363660341951736
