date,feature,detectors,drift_index,severity_feature,severity_score,KS_stat,KS_ratio,PSI_value,PSI_ratio,PH_stat,PH_ratio,cooldown_blocked
2016-05-25,Ret_Vol_20,KS|PSI,1.0,3.450337102511015,2.3619917051409605,0.24708764665286398,1.9006742050220304,3.0284008799057247,15.142004399528624,3.6473680454293937,0.7294736090858788,0
2016-05-26,Ret_Vol_20,KS|PSI,1.0,3.488320900085606,2.0929925400513634,0.2569634340222575,1.9766418001712116,1.7279090605544105,8.639545302772053,0.0,0.0,1
2016-05-27,Ret_Vol_20,KS|PSI,1.0,3.4498593616240676,2.0767460463501557,0.2469634340222575,1.8997187232481347,1.6787150927260193,8.393575463630096,0.08538036719643938,0.017076073439287874,1
2016-05-31,Ret_Vol_20,KS|PSI,1.0,3.426684603155191,2.0736306155491144,0.24093799682034966,1.853369206310382,1.6726128519356944,8.363064259678472,0.22024817070000047,0.04404963414000009,0
2016-06-01,Ret_Vol_20,KS|PSI,1.0,3.4025314907667847,2.041518894460071,0.23465818759936408,1.8050629815335697,1.6631278079797356,8.315639039898677,0.0,0.0,1
2016-06-02,Ret_Vol_20,KS|PSI,1.0,3.3640699523052464,2.0353443530418462,0.22465818759936407,1.7281399046104928,1.6548865994685966,8.274432997342982,0.21127977073373228,0.042255954146746454,1
2016-06-03,Ret_Vol_20,KS|PSI,1.0,3.3256084138437076,2.0174794337615563,0.21465818759936406,1.6512168276874157,1.6478426709768943,8.239213354884471,0.27642981819164536,0.05528596363832907,1
2016-06-06,Ret_Vol_20,KS|PSI,1.0,3.292772410419469,2.018082578916921,0.20612082670906196,1.585544820838938,1.64195808241274,8.209790412063699,0.5302391583154968,0.10604783166309936,0
2016-06-07,Ret_Vol_20,KS|PSI,1.0,3.292772410419469,1.9756634462516813,0.20612082670906196,1.585544820838938,1.609837989725194,8.049189948625969,0.0,0.0,1
2016-06-08,Ret_Vol_20,KS|PSI,1.0,3.2543108719579306,1.9876052726689144,0.19612082670906195,1.5086217439158611,1.5979921414332343,7.989960707166171,0.43773436867695004,0.08754687373539001,1
2016-06-09,Ret_Vol_20,KS|PSI,1.0,3.215849333496392,1.980079947909884,0.18612082670906194,1.431698666992784,1.5799638197674366,7.899819098837183,0.6321293476506153,0.12642586953012308,1
2016-06-10,Ret_Vol_20,KS|PSI,1.0,3.1773877950348535,1.9477429358349432,0.17612082670906193,1.3547755900697072,1.5702943051865452,7.851471525932726,0.5163782351753917,0.10327564703507834,1
2016-06-13,Ret_Vol_20,KS|PSI,1.0,3.1389262565733156,1.9167958456893033,0.16612082670906203,1.277852513146631,1.5622460368844597,7.811230184422298,0.4180011468164231,0.08360022936328462,0
2016-06-14,Ret_Vol_20,KS|PSI,1.0,3.100464718111777,1.860278830867066,0.15612082670906202,1.200929436223554,1.5529463386575406,7.764731693287703,0.0,0.0,1
2016-06-15,Ret_Vol_20,KS|PSI,1.0,3.0620031796502385,1.846183554813377,0.146120826709062,1.124006359300477,1.54075433813975,7.7037716906987495,0.11227058779042387,0.022454117558084775,1
2016-06-16,Ret_Vol_20,KS|PSI,1.0,3.0235416411887,1.8272760384803177,0.136120826709062,1.0470832823774,1.5306854385335928,7.653427192667964,0.16438817208872236,0.032877634417744474,1
2016-06-17,Ret_Vol_20,KS|PSI,1.0,3.012351718234071,1.8223596557172344,0.1332114467408585,1.0247034364681422,1.522605382507872,7.61302691253936,0.1868578097098974,0.03737156194197948,1
2016-06-20,Ret_Vol_20,KS|PSI,1.0,3.0508132566956094,1.8516603004594507,0.1432114467408585,1.1016265133912193,1.516414400333877,7.582072001669385,0.2646543305260657,0.05293086610521314,0
2016-06-21,Ret_Vol_20,KS|PSI,1.0,3.0739880151644856,1.8443928090986912,0.1492368839427663,1.1479760303289714,1.5326797249017163,7.663398624508582,0.0,0.0,1
2016-06-22,Ret_Vol_20,KS|PSI,1.0,2.0700206627381514,1.243155332540653,0.1592368839427663,1.2248991072520485,0.5830284436448508,2.915142218224254,0.014286686222028111,0.002857337244405622,1
2016-06-23,Ret_Vol_20,KS|PSI,1.0,1.9384865048063382,1.1746926990350188,0.16923688394276631,1.3018221841751254,0.5150301650875102,2.575150825437551,0.1450099518901975,0.0290019903780395,1
2016-06-24,Ret_Vol_20,KS|PSI,1.0,1.950286548836636,1.176128860163425,0.16923688394276631,1.3018221841751254,0.5197501826996294,2.598750913498147,0.07446163576804243,0.014892327153608487,1
2016-06-27,Ret_Vol_20,KS|PSI,1.0,1.986170013249812,1.215077239416425,0.16923688394276631,1.3018221841751254,0.5341035684648997,2.6705178423244984,0.2921903933317269,0.058438078666345386,0
2016-06-28,Ret_Vol_20,KS|PSI,1.0,2.150824989120821,1.2904949934724925,0.1760572337042926,1.354286413109943,0.5894727130263397,2.9473635651316985,0.0,0.0,1
2016-06-29,Ret_Vol_20,KS|PSI,1.0,2.2939084709624966,1.4026312256939795,0.1760572337042926,1.354286413109943,0.6467061057630101,3.2335305288150504,0.32857678895602005,0.06571535779120401,1
2016-06-30,Ret_Vol_20,KS|PSI,1.0,2.2939084709624966,1.4140534357088208,0.1760572337042926,1.354286413109943,0.6467061057630101,3.2335305288150504,0.4713544141415372,0.09427088282830745,1
2016-07-01,Ret_Vol_20,KS|PSI,1.0,2.52443908672184,1.5428721571085227,0.1760572337042926,1.354286413109943,0.7389183520667474,3.694591760333737,0.35260881344273387,0.07052176268854678,1
2016-07-05,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9279145109704556,0.1760572337042926,1.354286413109943,1.705487703543202,8.527438517716009,0.27035733796841177,0.05407146759368235,0
2016-07-06,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9062859239329828,0.1760572337042926,1.354286413109943,1.685572861410126,8.42786430705063,0.0,0.0,1
2016-07-07,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9141449361022647,0.1760572337042926,1.354286413109943,1.685572861410126,8.42786430705063,0.0982376521160242,0.01964753042320484,1
2016-07-08,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9193842775484526,0.1760572337042926,1.354286413109943,1.685572861410126,8.42786430705063,0.16372942019337366,0.03274588403867473,1
2016-07-11,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9265578169093103,0.1760572337042926,1.354286413109943,1.685572861410126,8.42786430705063,0.2533986622040927,0.05067973244081854,0
2016-07-12,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9062859239329828,0.1760572337042926,1.354286413109943,1.685572861410126,8.42786430705063,0.0,0.0,1
2016-07-13,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.909116686768511,0.1760572337042926,1.354286413109943,1.685572861410126,8.42786430705063,0.03538453544410358,0.007076907088820717,1
2016-07-14,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.912445391186219,0.1760572337042926,1.354286413109943,1.685572861410126,8.42786430705063,0.07699334066545216,0.015398668133090432,1
2016-07-15,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9105835684811017,0.1760572337042926,1.354286413109943,1.685572861410126,8.42786430705063,0.05372055685148491,0.010744111370296983,1
2016-07-18,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9183867117168758,0.1760572337042926,1.354286413109943,1.685572861410126,8.42786430705063,0.15125984729866282,0.030251969459732565,0
2016-07-19,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9062859239329828,0.1760572337042926,1.354286413109943,1.6627934428384044,8.31396721419202,0.0,0.0,1
2016-07-20,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9102154615163194,0.1760572337042926,1.354286413109943,1.6627934428384044,8.31396721419202,0.049119219791706636,0.009823843958341327,1
2016-07-21,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9085928092844127,0.1760572337042926,1.354286413109943,1.6627934428384044,8.31396721419202,0.028836066892872436,0.005767213378574487,1
2016-07-22,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9166798879785478,0.1760572337042926,1.354286413109943,1.6627934428384044,8.31396721419202,0.1299245505695622,0.025984910113912442,1
2016-07-25,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.923275441256618,0.1760572337042926,1.354286413109943,1.6355457433674294,8.177728716837146,0.2123689665454409,0.04247379330908818,0
2016-07-26,Ret_Vol_20,KS|PSI,1.0,3.1771432065549714,1.9062859239329828,0.1760572337042926,1.354286413109943,1.6400417794890925,8.200208897445462,0.0,0.0,1
2016-07-27,Ret_Vol_20,KS|PSI,1.0,3.2156047450165097,1.9335772676362188,0.1860572337042925,1.4312094900330192,1.6366852679726593,8.183426339863296,0.05268025782891317,0.010536051565782634,1
2016-07-28,Ret_Vol_20,KS|PSI,1.0,3.254066283478048,1.9790370752523034,0.1960572337042925,1.508132566956096,1.6330622562620967,8.165311281310483,0.33246631456843423,0.06649326291368685,1
2016-07-29,Ret_Vol_20,KS|PSI,1.0,3.2925278219395864,1.9898301971301815,0.20605723370429252,1.5850556438791732,1.5781875278915178,7.890937639457589,0.1789187995803727,0.03578375991607454,1
2016-08-01,Ret_Vol_20,KS|PSI,1.0,3.330989360401125,2.0217902437777253,0.21605723370429253,1.66197872080225,1.55890678676647,7.7945339338323505,0.28995784421313076,0.05799156884262615,0
2016-08-02,Ret_Vol_20,KS|PSI,1.0,3.3218172924055276,1.9930903754433165,0.2136724960254372,1.6436345848110554,1.5655885959291904,7.827942979645952,0.0,0.0,1
2016-08-03,Ret_Vol_20,KS|PSI,1.0,3.360278830867066,2.0379917681142956,0.2236724960254372,1.7205576617341323,1.5658456572372197,7.8292282861860985,0.2728058699257032,0.05456117398514064,1
2016-08-04,Ret_Vol_20,KS|PSI,1.0,3.3987403693286047,2.0649588247101973,0.23367249602543722,1.7974807386572094,1.5811633374215417,7.905816687107708,0.3214325389129292,0.06428650778258585,1
2016-08-05,Ret_Vol_20,KS|PSI,1.0,3.437201907790143,2.075681556018261,0.24367249602543722,1.8744038155802862,1.6161496700880276,8.080748350440137,0.1670051418021885,0.0334010283604377,1
2016-08-08,Ret_Vol_20,KS|PSI,1.0,3.4756634462516818,2.102001478567895,0.25367249602543723,1.9513268925033633,1.6301753906162522,8.15087695308126,0.20754263521107508,0.04150852704221501,0
2016-08-09,Ret_Vol_20,KS|PSI,1.0,3.498838204720558,2.0993029228323348,0.259697933227345,1.9976764094411155,1.6590888400092916,8.295444200046457,0.0,0.0,1
2016-08-10,Ret_Vol_20,KS|PSI,1.0,3.5372997431820963,2.1533378944282675,0.26969793322734503,2.0745994863641926,1.7023213260168355,8.511606630084177,0.38697560648762064,0.07739512129752413,1
2016-08-11,Ret_Vol_20,KS|PSI,1.0,3.5757612816436346,2.1714216544703304,0.27969793322734504,2.1515225632872697,1.7813718706772106,8.906859353386052,0.3245610685518709,0.06491221371037417,1
2016-08-12,Ret_Vol_20,KS|PSI,1.0,3.614222820105173,2.1961399499873298,0.28969793322734505,2.2284456402103463,1.7984535348770918,8.992267674385458,0.3450782240528268,0.06901564481056535,1
2016-08-15,Ret_Vol_20,KS|PSI,1.0,3.6526843585667113,2.220697781400241,0.29969793322734495,2.3053687171334225,1.8231641757413972,9.115820878706986,0.3635895782526752,0.07271791565053504,0
2016-08-16,Ret_Vol_20,KS|PSI,1.0,3.6758591170355874,2.205515470221352,0.30572337042925274,2.351718234071175,1.8674965900957377,9.337482950478687,0.0,0.0,1
2016-08-17,Ret_Vol_20,KS|PSI,1.0,3.7143206554971258,2.2495502617674226,0.31572337042925275,2.428641310994252,1.9189759109261413,9.594879554630706,0.261973355864344,0.0523946711728688,1
2016-08-18,Ret_Vol_20,KS|PSI,1.0,3.752782193958664,2.2622587312779636,0.32572337042925276,2.5055643879173286,2.0056114206114284,10.028057103057142,0.1323676862845653,0.02647353725691306,1
2016-08-19,Ret_Vol_20,KS|PSI,1.0,3.791243732420203,2.2988800345177602,0.33572337042925277,2.5824874648404057,2.0289267351626057,10.144633675813028,0.30167243832048196,0.060334487664096395,1
2016-08-22,Ret_Vol_20,KS|PSI,1.0,3.791243732420203,2.288279988163473,0.33572337042925277,2.5824874648404057,2.0333455415704975,10.166727707852488,0.1691718588918908,0.033834371778378156,0
2016-08-23,Ret_Vol_20,KS|PSI,1.0,3.7759569524275403,2.265574171456524,0.33174880763116055,2.551913904855081,2.0538937579980057,10.269468789990027,0.0,0.0,1
2016-08-24,Ret_Vol_20,KS|PSI,1.0,3.7759569524275403,2.2929059668212015,0.33174880763116055,2.551913904855081,2.058750529661577,10.293752648307885,0.34164744205846687,0.06832948841169337,1
2016-08-25,Ret_Vol_20,KS|PSI,1.0,3.7759569524275403,2.287787312011376,0.33174880763116055,2.551913904855081,2.065583448694476,10.32791724347238,0.27766425693564767,0.05553285138712953,1
2016-08-26,Ret_Vol_20,KS|PSI,1.0,3.7759569524275403,2.284320915814893,0.33174880763116055,2.551913904855081,2.0621129865351655,10.310564932675828,0.23433430447960946,0.04686686089592189,1
2016-08-29,Ret_Vol_20,KS|PSI,1.0,3.7759569524275403,2.294878373141095,0.33174880763116055,2.551913904855081,2.071672467773582,10.35836233886791,0.36630252105714056,0.07326050421142812,0
2016-08-30,Ret_Vol_20,KS|PSI,1.0,3.7986425339366514,2.279185520361991,0.3376470588235294,2.5972850678733033,2.0401958347770797,10.200979173885397,0.0,0.0,1
2016-08-31,Ret_Vol_20,KS|PSI,1.0,3.8371040723981897,2.3222934549554135,0.3476470588235294,2.67420814479638,2.0694327829745056,10.347163914872528,0.2503876439562446,0.05007752879124892,1
2016-09-01,Ret_Vol_20,KS|PSI,1.0,3.8371040723981897,2.3149660365515765,0.3476470588235294,2.67420814479638,2.082296131673694,10.41148065836847,0.15879491390828415,0.03175898278165683,1
2016-09-02,Ret_Vol_20,KS|PSI,1.0,3.8371040723981897,2.33912810366724,0.3476470588235294,2.67420814479638,2.0974328346398723,10.48716417319936,0.46082075285408175,0.09216415057081635,1
2016-09-06,Ret_Vol_20,KS|PSI,1.0,3.8371040723981897,2.3349748082287998,0.3476470588235294,2.67420814479638,2.0990307091139253,10.495153545569625,0.4089045598735764,0.08178091197471528,0
2016-09-07,Ret_Vol_20,KS|PSI,1.0,3.8218172924055276,2.2930903754433163,0.3436724960254372,2.643634584811055,2.08731602128238,10.436580106411899,0.0,0.0,1
2016-09-08,Ret_Vol_20,KS|PSI,1.0,3.8218172924055276,2.297227798933246,0.3436724960254372,2.643634584811055,2.090610310893671,10.453051554468354,0.05171779362412099,0.010343558724824198,1
2016-09-09,Ret_Vol_20,KS|PSI,1.0,3.8218172924055276,2.295402485003827,0.3436724960254372,2.643634584811055,2.078437219544183,10.392186097720915,0.02890136950638522,0.005780273901277044,1
2016-09-12,Ret_Vol_20,KS|PSI,1.0,3.7833557539439893,2.27806769249396,0.3336724960254372,2.5667115078879785,2.0517748008355925,10.258874004177962,0.1006780015945864,0.020135600318917278,0
2016-09-13,Ret_Vol_20,KS|PSI,1.0,3.771126329949859,2.2626757979699152,0.3304928457869634,2.5422526598997184,1.9691229489236646,9.845614744618322,0.0,0.0,1
2016-09-14,Ret_Vol_20,KS|PSI,1.0,3.732664791488321,2.262510214825395,0.3204928457869634,2.4653295829766417,1.9289185788843457,9.644592894421727,0.28639174915503507,0.05727834983100701,1
2016-09-15,Ret_Vol_20,KS|PSI,1.0,3.6942032530267825,2.2456002792024536,0.3104928457869634,2.3884065060535646,1.8985680320104374,9.492840160052186,0.3634790923298059,0.07269581846596118,1
2016-09-16,Ret_Vol_20,KS|PSI,1.0,3.6557417145652438,2.2142750082586478,0.3004928457869634,2.3114834291304875,1.8752527174592601,9.3762635872963,0.26037474399377036,0.05207494879875407,1
