date,action,drift_index,feature_score,prediction_score,performance_score,top_drift_feature,cooldown_blocked,retrained_today,ensemble_size
2016-12-13,moderate,2.6592304424117037,4.114611947708879,0.10493224085989106,3.2730199702339497,Ret_Vol_20,0,1,1
2017-03-06,moderate,3.018392319964329,6.656539693807842,0.0417187307015469,1.144202744102427,Ret_Vol_20,0,1,1
2017-03-08,moderate,2.7067389809562963,6.427233358404404,0.04735368387361588,0.40546510810816444,Ret_Vol_20,1,0,1
2017-03-09,moderate,2.772878145229902,6.440512762260875,0.04248758733708355,0.6130892137480899,Ret_Vol_20,1,0,1
2017-03-10,moderate,2.793990423974082,6.469277079176651,0.04088769886606967,0.6467109421453345,Ret_Vol_20,1,0,1
2017-03-13,moderate,2.7436912059759875,6.501820387318329,0.037512980894306346,0.439030522601213,Ret_Vol_20,0,1,1
2017-03-14,moderate,2.6063186624007217,6.5154172017571295,0.0005059389928987455,0.0,Ret_Vol_20,1,0,1
2017-03-15,moderate,2.69195053137517,6.553654702805218,0.001011877985797532,0.23395028952447838,Ret_Vol_20,1,0,1
2017-03-16,moderate,2.7174962915186893,6.581513111574127,0.001398960087847372,0.2815711962089472,Ret_Vol_20,1,0,1
2017-03-17,moderate,2.733691254911313,6.614257877979691,0.002325292700941311,0.29096838636384637,Ret_Vol_20,1,0,1
2017-03-20,moderate,2.751144858355627,6.653470827688597,0.006200589209736622,0.292987835057556,Ret_Vol_20,0,1,1
2017-03-21,moderate,2.680210706307037,6.699940460754778,0.0007817400170851909,0.0,Ret_Vol_20,1,0,1
2017-03-22,moderate,2.749916978176509,6.699940460754778,0.001095674110685022,0.23204030547130672,Ret_Vol_20,1,0,1
2017-03-23,moderate,2.8425327617484273,6.699940460754778,0.002410369291319269,0.5394448888637325,Ret_Vol_20,1,0,1
2017-03-24,moderate,2.8906394132600615,6.699940460754778,0.003019700139088205,0.6991910630547458,Ret_Vol_20,1,0,1
2017-03-27,moderate,2.7875539945465917,6.69852989703659,0.005329769609099328,0.35514368283075193,Ret_Vol_20,0,1,1
2017-03-28,moderate,2.6593433167301894,6.648170242515226,0.0002507324136626313,0.0,Ret_Vol_20,1,0,1
2017-03-29,moderate,2.669994632404677,6.648170242515226,0.0007758236918314414,0.034979294303455144,Ret_Vol_20,1,0,1
2017-03-30,moderate,2.7121919684779026,6.649268608805571,0.0011351118304651746,0.1738133046884497,Ret_Vol_20,1,0,1
2017-03-31,moderate,2.720030005392624,6.651034360537885,0.0016987796227599663,0.19702209096880685,Ret_Vol_20,1,0,1
2017-04-03,moderate,2.7523602654012893,6.653470827688597,0.0013394914841262332,0.30190028960204063,Ret_Vol_20,0,1,1
2017-04-04,moderate,2.6647746821397,6.661557571795333,0.0005055114052218593,0.0,Ret_Vol_20,1,0,1
2017-04-05,moderate,2.724942965020954,6.712537969460486,0.0005859544696623164,0.13250663631953408,Ret_Vol_20,1,0,1
2017-04-06,moderate,2.717911961150154,6.727654257017731,0.0008710660379127027,0.08862979510562619,Ret_Vol_20,1,0,1
2017-04-07,moderate,2.7274348267945423,6.74429267714636,0.0010060390794172785,0.09805314737390913,Ret_Vol_20,1,0,1
2017-04-10,moderate,2.7525929932146944,6.762582354176182,0.0010060390794172785,0.15752746606798795,Ret_Vol_20,0,1,1
2017-04-11,moderate,2.7131254442728787,6.782544144578221,0.0003592881386337149,0.0,Ret_Vol_20,1,0,1
2017-04-12,moderate,2.7274624299978565,6.803522287727995,0.0009452426082960531,0.01923314041389812,Ret_Vol_20,1,0,1
2017-04-13,moderate,2.8601074721797834,6.826803198209099,0.0019132583229020306,0.4293740513309107,Ret_Vol_20,1,0,1
2017-04-17,moderate,2.9544637863119148,6.8520484446747965,0.0036122486908559404,0.7085357794491323,Ret_Vol_20,0,1,1
2017-04-18,moderate,2.7192478349630242,6.7978308407147985,0.00038499559034834395,0.0,Ret_Vol_20,1,0,1
2017-04-19,moderate,2.8021989693170415,6.8292114935546095,0.001055173772575101,0.23399273254474923,Ret_Vol_20,1,0,1
2017-04-20,moderate,2.8138690841633855,6.865393528548701,0.0032606404257067632,0.2224449353873113,Ret_Vol_20,1,0,1
2017-04-21,moderate,2.8493635217005924,6.907975564443241,0.0037506478430034454,0.2834936719013162,Ret_Vol_20,1,0,1
2017-04-24,moderate,2.9357261962903616,6.960021057546822,0.0047669333704399635,0.5009589775350018,Ret_Vol_20,0,1,1
2017-04-25,moderate,2.799601270408277,6.995766752705984,0.0043152310862766,0.0,Ret_Vol_20,1,0,1
2017-04-26,moderate,2.9191230680825364,7.063553185334266,0.004866096536532336,0.3074732166262353,Ret_Vol_20,1,0,1
2017-04-27,moderate,2.9244680116626474,7.165667135532713,0.0084405623630639,0.1855632958021411,Ret_Vol_20,1,0,1
2017-04-28,high,3.35021573590883,8.135636440394777,0.014330041189012046,0.30554049131405087,Ret_Vol_20,1,0,1
2017-05-01,high,3.487193946494909,8.238248108020535,0.011713800470189367,0.6279352104854592,Ret_Vol_20,0,1,1
2017-05-02,high,3.663137219496623,9.15117871201377,0.008885782303714916,0.0,Ret_Vol_20,1,0,1
2017-05-03,high,3.6668055200160627,9.153233137924728,0.0089695501751572,0.009404665978748117,Ret_Vol_20,1,0,1
