date,equity_market,equity_longonly_static,equity_longonly_adaptive,equity_longshort_static,equity_longshort_adaptive
2016-01-04,1.0020122259542275,1.0002520376590378,1.0002520376590378,1.0002520376590378,1.0002520376590378
2016-01-05,0.9888704381099355,0.9957049903750874,0.9957049903750874,0.9957049903750874,0.9957049903750874
2016-01-06,0.9654337706428746,0.9895295133357495,0.9895295133357495,0.9895295133357495,0.9895295133357495
2016-01-07,0.9549700379876868,0.9872866483393484,0.9872866483393484,0.9872866483393484,0.9872866483393484
2016-01-08,0.9557848873018214,0.9875212046837295,0.9875212046837295,0.9875212046837295,0.9875212046837295
2016-01-11,0.963242684202798,0.9904973454896334,0.9904973454896334,0.9904973454896334,0.9904973454896334
2016-01-12,0.9391948949129446,0.9867516810535206,0.9867516810535206,0.9867516810535206,0.9867516810535206
2016-01-13,0.9548756040180473,0.994601626785148,0.994601626785148,0.994601626785148,0.994601626785148
2016-01-14,0.9342511522672857,0.9851261202895742,0.9851261202895742,0.9851261202895742,0.9851261202895742
2016-01-15,0.9347480071672776,0.9853227587847592,0.9853227587847592,0.9853227587847592,0.9853227587847592
2016-01-19,0.9238171993674562,0.9792753685862332,0.9792753685862332,0.9792753685862332,0.9792753685862332
2016-01-20,0.9286168346837229,0.9796528626071079,0.9796528626071079,0.9796528626071079,0.9796528626071079
2016-01-21,0.9474526209247602,0.9888821250243508,0.9888821250243508,0.9888821250243508,0.9888821250243508
2016-01-22,0.932636373842312,0.9812432698805752,0.9812432698805752,0.9812432698805752,0.9812432698805752
2016-01-25,0.9458278956975895,0.987228080694577,0.987228080694577,0.987228080694577,0.987228080694577
2016-01-26,0.9355529096792149,0.9836720146862462,0.9836720146862462,0.9836720146862462,0.9836720146862462
2016-01-27,0.9407251861704756,0.9857123399703002,0.9857123399703002,0.9857123399703002,0.9857123399703002
2016-01-28,0.9640177463081441,0.9965810313838046,0.9965810313838046,0.9965810313838046,0.9965810313838046
2016-01-29,0.963590458372299,0.996367889843546,0.996367889843546,0.996367889843546,0.996367889843546
2016-02-01,0.9455297948878407,0.9922328169840147,0.9922328169840147,0.9922328169840147,0.9922328169840147
2016-02-02,0.9502499164377636,0.9937385357736607,0.9937385357736607,0.9937385357736607,0.9937385357736607
2016-02-03,0.9517006939289508,0.9939722315714609,0.9939722315714609,0.9939722315714609,0.9939722315714609
2016-02-04,0.9341120789902246,0.9891629392979043,0.9891629392979043,0.9891629392979043,0.9891629392979043
2016-02-05,0.9208907167283558,0.9845564546584071,0.9845564546584071,0.9845564546584071,0.9845564546584071
2016-02-08,0.920279594905563,0.9843277445699302,0.9843277445699302,0.9843277445699302,0.9843277445699302
2016-02-09,0.9201057078208124,0.9841921720033757,0.9841921720033757,0.9841921720033757,0.9841921720033757
2016-02-10,0.9087873386427014,0.980875139469834,0.980875139469834,0.980875139469834,0.980875139469834
2016-02-11,0.9265250949631513,0.9897112777645943,0.9897112777645943,0.9897112777645943,0.9897112777645943
2016-02-12,0.9418281894921613,0.9973397465638936,0.9973397465638936,0.9973397465638936,0.9973397465638936
2016-02-16,0.957349931715809,0.9986876588706436,0.9986876588706436,0.9986876588706436,0.9986876588706436
2016-02-17,0.9528832110169806,0.998641053446563,0.998641053446563,0.9988351983004775,0.9988351983004775
2016-02-18,0.9528584046627208,0.9985324877074909,0.9985324877074909,0.9987033053006167,0.9987033053006167
2016-02-19,0.9666312079341997,1.0015153047054726,1.0015153047054726,1.0016866325650409,1.0016866325650409
2016-02-22,0.9545924234115937,1.001411814790653,1.001411814790653,1.0020621063263688,1.0020621063263688
2016-02-23,0.9588306102648203,1.0018589543510434,1.0018589543510434,1.002489495005768,1.002489495005768
2016-02-24,0.9697116840536562,1.0045241523925286,1.0045241523925286,1.0051563704447657,1.0051563704447657
2016-02-25,0.9678982121896721,1.0044036094942415,1.0044036094942415,1.0052561003683285,1.0052561003683285
2016-02-26,0.9600379337071102,1.0038840731089311,1.0038840731089311,1.0046557025367693,1.0046557025367693
2016-02-29,0.9829528792686862,1.0065729395261993,1.0065729395261993,1.0073466357349643,1.0073466357349643
2016-03-01,0.9869773918283741,1.0066700506212423,1.0066700506212423,1.007443821473864,1.007443821473864
