date,rolling_logloss_static_w60,rolling_logloss_adaptive_w60
2016-01-04,,
2016-01-05,,
2016-01-06,,
2016-01-07,,
2016-01-08,,
2016-01-11,,
2016-01-12,,
2016-01-13,,
2016-01-14,,
2016-01-15,,
2016-01-19,,
2016-01-20,,
2016-01-21,,
2016-01-22,,
2016-01-25,,
2016-01-26,,
2016-01-27,,
2016-01-28,,
2016-01-29,,
2016-02-01,,
2016-02-02,,
2016-02-03,,
2016-02-04,,
2016-02-05,,
2016-02-08,,
2016-02-09,,
2016-02-10,,
2016-02-11,,
2016-02-12,,
2016-02-16,,
2016-02-17,,
2016-02-18,,
2016-02-19,,
2016-02-22,,
2016-02-23,,
2016-02-24,,
2016-02-25,,
2016-02-26,,
2016-02-29,,
2016-03-01,,
2016-03-02,,
2016-03-03,,
2016-03-04,,
2016-03-07,,
2016-03-08,,
2016-03-09,,
2016-03-10,,
2016-03-11,,
2016-03-14,,
2016-03-15,,
2016-03-16,,
2016-03-17,,
2016-03-18,,
2016-03-21,,
2016-03-22,,
2016-03-23,,
2016-03-24,,
2016-03-28,,
2016-03-29,,
2016-03-30,0.6990002338113185,0.6990002338113185
2016-03-31,0.699880203570768,0.699880203570768
2016-04-01,0.6919837977026739,0.6919837977026739
2016-04-04,0.6847815751161686,0.6847815751161686
2016-04-05,0.6807022913205893,0.6807022913205893
2016-04-06,0.6859596072614302,0.6859596072614302
2016-04-07,0.6917446988101399,0.6917446988101399
2016-04-08,0.6895517595136611,0.6895517595136611
2016-04-11,0.6957220789977694,0.6957220789977694
2016-04-12,0.689097130023453,0.689097130023453
2016-04-13,0.6986427073628618,0.6986427073628618
2016-04-14,0.6859712659729024,0.6859712659729024
2016-04-15,0.6855767702381373,0.6855767702381373
2016-04-18,0.6927159269371665,0.6927159269371665
2016-04-19,0.6891732362374386,0.6891732362374386
2016-04-20,0.6902954549052485,0.6902954549052485
2016-04-21,0.6820143337133271,0.6820143337133271
2016-04-22,0.6850047870261202,0.6850047870261202
2016-04-25,0.6907205328782341,0.6907205328782341
2016-04-26,0.6898123964568329,0.6898123964568329
2016-04-27,0.683390387423238,0.683390387423238
2016-04-28,0.6862439864295954,0.6862439864295954
2016-04-29,0.6870060239185637,0.6870060239185637
2016-05-02,0.6780477927377612,0.6780477927377612
2016-05-03,0.6712351260043442,0.6712351260043442
2016-05-04,0.6674824307465034,0.6674824307465034
2016-05-05,0.6564397014600389,0.6564397014600389
2016-05-06,0.6543091452682075,0.6543091452682075
2016-05-09,0.6609160664780116,0.6609160664780116
2016-05-10,0.6620119227707247,0.6620119227707247
2016-05-11,0.6624234663138976,0.6624234663138976
2016-05-12,0.6650635664038542,0.6650635664038542
2016-05-13,0.6591189840048753,0.6591189840048753
2016-05-16,0.6590271564080258,0.6590271564080258
2016-05-17,0.658398150941645,0.658398150941645
2016-05-18,0.6608678261556575,0.6608678261556575
2016-05-19,0.657769503186627,0.657769503186627
2016-05-20,0.6626281839992761,0.6626281839992761
2016-05-23,0.6573098795211901,0.6573098795211901
2016-05-24,0.6677991702326004,0.6677991702326004
2016-05-25,0.6657764892825292,0.6657764892825292
2016-05-26,0.6661855077644645,0.6661855077644645
2016-05-27,0.6701800553188881,0.6701800553188881
2016-05-31,0.6734159888929041,0.6734159888929041
2016-06-01,0.6780202118367067,0.6780202118367067
2016-06-02,0.6757416944110084,0.6757416944110084
2016-06-03,0.6780930043820067,0.6780930043820067
2016-06-06,0.6887388895235759,0.6887388895235759
2016-06-07,0.7006745011699866,0.7006745011699866
2016-06-08,0.6922275411305123,0.6922275411305123
2016-06-09,0.6846944557347947,0.6846944557347947
2016-06-10,0.6870552976858452,0.6870552976858452
2016-06-13,0.6891336889941946,0.6891336889941946
2016-06-14,0.6879916898869154,0.6879916898869154
2016-06-15,0.686266011904568,0.686266011904568
2016-06-16,0.6852368784534273,0.6852368784534273
2016-06-17,0.6892664179725557,0.6892664179725557
2016-06-20,0.6940282784469638,0.6940282784469638
2016-06-21,0.6931148078387139,0.6931148078387139
2016-06-22,0.6903659776040125,0.6903659776040125
2016-06-23,0.6878454614419472,0.6878454614419472
2016-06-24,0.6880474841174864,0.6880474841174864
2016-06-27,0.6849042979540272,0.6849042979540272
2016-06-28,0.6825452950834383,0.6825452950834383
2016-06-29,0.6887106312615842,0.6887106312615842
2016-06-30,0.693839791853294,0.693839791853294
2016-07-01,0.6916142686428853,0.6916142686428853
2016-07-05,0.692195047498388,0.692195047498388
2016-07-06,0.6886063670711714,0.6886063670711714
2016-07-07,0.6857913914634746,0.6857913914634746
2016-07-08,0.6844465762759722,0.6844465762759722
2016-07-11,0.6834999496360866,0.6834999496360866
2016-07-12,0.6868336352009758,0.6868336352009758
2016-07-13,0.6848705846067028,0.6848705846067028
2016-07-14,0.6774182878648906,0.6774182878648906
2016-07-15,0.6818574929589813,0.6818574929589813
2016-07-18,0.6810730344446816,0.6810730344446816
2016-07-19,0.6846005206428228,0.6846005206428228
2016-07-20,0.6813645870688069,0.6813645870688069
2016-07-21,0.6821399206627219,0.6821399206627219
2016-07-22,0.6812898780885156,0.6812898780885156
2016-07-25,0.6846120931321905,0.6846120931321905
2016-07-26,0.6846120931321905,0.6846120931321905
2016-07-27,0.6897017872913768,0.6897017872913768
2016-07-28,0.6942066261203753,0.6942066261203753
2016-07-29,0.6897513799599195,0.6897513799599195
2016-08-01,0.6878921718614904,0.6878921718614904
2016-08-02,0.6822843012511369,0.6822843012511369
2016-08-03,0.6869295246256205,0.6869295246256205
2016-08-04,0.6962160503643524,0.6962160503643524
2016-08-05,0.6938866846580998,0.6938866846580998
2016-08-08,0.6938866846580998,0.6938866846580998
2016-08-09,0.6909298922915743,0.6909298922915743
2016-08-10,0.6984368338910816,0.6984368338910816
2016-08-11,0.6945947729142178,0.6945947729142178
2016-08-12,0.6992358632033321,0.6992358632033321
2016-08-15,0.7013765685886162,0.7013765685886162
2016-08-16,0.7020302471411708,0.7020302471411708
2016-08-17,0.7121038982236919,0.7121038982236919
2016-08-18,0.6986927573071527,0.6986927573071527
2016-08-19,0.6972346330717675,0.6972346330717675
2016-08-22,0.7051718693883736,0.7051718693883736
2016-08-23,0.702113897806344,0.702113897806344
